18.8.2020-15:38:35//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-15:38:45//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-15:38:47//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-15:38:52//jarkela left LOL(Thy Server)
18.8.2020-15:39:51//Carklju joined LOL(Thy Server)
18.8.2020-15:59:6//Groovy left LOL(Thy Server)
18.8.2020-16:20:30//Urosh left LOL(Thy Server)
18.8.2020-16:21:17//solimm4sks left LOL(Thy Server)
18.8.2020-16:46:0//Vanjanja joined LOL(Thy Server)
18.8.2020-16:52:28//illneso left LOL(Thy Server)
18.8.2020-16:53:12//illneso joined LOL(Thy Server)
19.8.2020-12:40:15//Vanjanja joined duo(Thy Server)
19.8.2020-12:46:12//Carklju joined Chill(Thy Server)
19.8.2020-12:51:59//jarkela joined Chill(Thy Server)
19.8.2020-12:52:39//illneso joined Chill(Thy Server)
19.8.2020-12:53:3//illneso left Chill(Thy Server)
19.8.2020-13:1:56//Carklju left Chill(Thy Server)
19.8.2020-13:20:41//Groovy joined CIVILIZACIJA 6(Thy Server)
19.8.2020-13:20:53//grupajderiAssembleBot joined CIVILIZACIJA 6(Thy Server)
19.8.2020-13:20:56//grupajderiAssembleBot left CIVILIZACIJA 6(Thy Server)
19.8.2020-13:23:52//Carklju joined CIVILIZACIJA 6(Thy Server)
19.8.2020-13:25:21//illneso joined CIVILIZACIJA 6(Thy Server)
19.8.2020-13:36:36//illneso left CIVILIZACIJA 6(Thy Server)
19.8.2020-13:36:42//illneso joined CIVILIZACIJA 6(Thy Server)
19.8.2020-13:43:7//illneso left CIVILIZACIJA 6(Thy Server)
19.8.2020-13:46:58//Groovy left CIVILIZACIJA 6(Thy Server)
19.8.2020-13:52:53//Groovy joined CIVILIZACIJA 6(Thy Server)
19.8.2020-14:12:54//Groovy left CIVILIZACIJA 6(Thy Server)
19.8.2020-14:27:52//Urosh joined CIVILIZACIJA 6(Thy Server)
19.8.2020-14:28:9//Urosh left CIVILIZACIJA 6(Thy Server)
19.8.2020-14:47:9//solimm4sks joined CIVILIZACIJA 6(Thy Server)
19.8.2020-14:50:13//Carklju left CIVILIZACIJA 6(Thy Server)
19.8.2020-14:50:31//Vanjanja left CIVILIZACIJA 6(Thy Server)
19.8.2020-14:50:48//Vanjanja joined CIVILIZACIJA 6(Thy Server)
19.8.2020-14:50:51//Carklju joined CIVILIZACIJA 6(Thy Server)
19.8.2020-14:56:17//Mr. Janja joined CIVILIZACIJA 6(Thy Server)
19.8.2020-15:7:45//illneso joined CIVILIZACIJA 6(Thy Server)
19.8.2020-15:11:36//solimm4sks left CIVILIZACIJA 6(Thy Server)
19.8.2020-15:11:37//solimm4sks joined CIVILIZACIJA 6(Thy Server)
19.8.2020-15:11:49//solimm4sks left CIVILIZACIJA 6(Thy Server)
19.8.2020-15:11:49//solimm4sks joined CIVILIZACIJA 6(Thy Server)
19.8.2020-15:11:53//illneso left CIVILIZACIJA 6(Thy Server)
19.8.2020-15:12:51//solimm4sks left CIVILIZACIJA 6(Thy Server)
19.8.2020-15:12:53//solimm4sks joined tft-bleja(Thy Server)
19.8.2020-15:20:39//jarkela left CIVILIZACIJA 6(Thy Server)
19.8.2020-15:20:40//Carklju left CIVILIZACIJA 6(Thy Server)
19.8.2020-15:33:25//Carklju joined CIVILIZACIJA 6(Thy Server)
19.8.2020-15:33:52//Carklju left CIVILIZACIJA 6(Thy Server)
19.8.2020-16:18:30//Groovy joined CIVILIZACIJA 6(Thy Server)
19.8.2020-16:27:52//Vanjanja left CIVILIZACIJA 6(Thy Server)
19.8.2020-16:36:35//Groovy left CIVILIZACIJA 6(Thy Server)
19.8.2020-16:49:19//illneso joined CIVILIZACIJA 6(Thy Server)
19.8.2020-17:5:43//Urosh joined CIVILIZACIJA 6(Thy Server)
19.8.2020-17:5:54//Urosh left CIVILIZACIJA 6(Thy Server)
19.8.2020-17:6:0//illneso left CIVILIZACIJA 6(Thy Server)
19.8.2020-17:13:39//Urosh joined CIVILIZACIJA 6(Thy Server)
19.8.2020-17:15:17//illneso joined CIVILIZACIJA 6(Thy Server)
19.8.2020-17:27:11//solimm4sks left CIVILIZACIJA 6(Thy Server)
19.8.2020-17:27:20//solimm4sks joined CIVILIZACIJA 6(Thy Server)
19.8.2020-17:38:40//Vanjanja joined LOL(Thy Server)
19.8.2020-17:38:47//Vanjanja left LOL(Thy Server)
19.8.2020-17:38:52//Vanjanja joined LOL(Thy Server)
19.8.2020-18:5:33//illneso left LOL(Thy Server)
19.8.2020-18:7:14//illneso joined LOL(Thy Server)
19.8.2020-18:13:50//illneso left LOL(Thy Server)
19.8.2020-18:15:8//Urosh left LOL(Thy Server)
19.8.2020-18:16:37//Mr. Janja left LOL(Thy Server)
19.8.2020-18:33:58//Vanjanja left LOL(Thy Server)
19.8.2020-18:34:0//solimm4sks left LOL(Thy Server)
20.8.2020-15:43:30//illneso joined LOL(Thy Server)
20.8.2020-15:57:7//illneso left LOL(Thy Server)
20.8.2020-16:49:36//Urosh joined LOL(Thy Server)
20.8.2020-16:50:30//jarkela joined LOL(Thy Server)
20.8.2020-16:58:44//Groovy joined LOL(Thy Server)
20.8.2020-17:4:14//illneso joined LOL(Thy Server)
20.8.2020-17:4:51//illneso left LOL(Thy Server)
20.8.2020-17:7:32//Vanjanja joined LOL(Thy Server)
20.8.2020-17:15:5//Carklju joined LOL(Thy Server)
20.8.2020-17:16:19//Mr. Janja joined LOL(Thy Server)
20.8.2020-17:18:36//Carklju left LOL(Thy Server)
20.8.2020-17:19:58//Mr. Janja left LOL(Thy Server)
20.8.2020-17:20:26//Vanjanja left LOL(Thy Server)
20.8.2020-17:20:55//illneso joined LOL(Thy Server)
20.8.2020-17:22:21//jarkela left LOL(Thy Server)
20.8.2020-17:22:27//jarkela joined LOL(Thy Server)
20.8.2020-17:23:0//jarkela left LOL(Thy Server)
20.8.2020-17:30:27//Vanjanja joined LOL(Thy Server)
20.8.2020-18:18:26//Potato. joined LOL(Thy Server)
20.8.2020-18:26:18//Rodrick joined LOL(Thy Server)
20.8.2020-18:59:11//Potato. left LOL(Thy Server)
20.8.2020-18:59:21//illneso left LOL(Thy Server)
20.8.2020-18:59:23//Rodrick left LOL(Thy Server)
20.8.2020-18:59:24//Urosh left LOL(Thy Server)
20.8.2020-18:59:30//Vanjanja left LOL(Thy Server)
20.8.2020-19:4:30//Groovy left LOL(Thy Server)
20.8.2020-20:20:23//solimm4sks joined LOL(Thy Server)
